YEAR,LSOA_CODE,LA_CODE,LA_NAME,GOR_CODE,GOR_NAME,IMD_SCORE,RANK_OF_IMD_SCORE,District_LSOA_Name,District_LSOA_Code,LSOA_Code,Aged0,Aged1,Aged2,Aged3,Aged4,Aged5,Aged6,Aged7,Aged8,Aged9,Aged10,Aged11,Aged12,Aged13,Aged14,Aged15,Aged16,Aged17,Aged18,Aged19,Aged20-24,Aged25-29,Aged30-34,Aged35-39,Aged40-44,Aged45-49,Aged50-54,Aged55-59,Aged60-64,Aged65-69,Aged70-74,Aged75-79,Aged80-84,Aged85
2010,"E01023259","24UP","Winchester District","J","South East",4.68,30381,"Winchester","Winchester 009E","E01023259",13,19,18,14,13,19,15,15,19,12,14,16,18,18,16,20,20,19,19,35,137,49,42,59,86,134,101,82,91,83,60,48,33,
2010,"E01023260","24UP","Winchester District","J","South East",28.11,9069,"Winchester","Winchester 008A","E01023260",19,15,21,19,12,16,15,15,21,23,25,22,20,23,20,15,17,18,14,34,133,53,77,108,104,83,81,58,44,42,40,27,18,
2010,"E01023261","24UP","Winchester District","J","South East",20.87,13340,"Winchester","Winchester 008B","E01023261",13,13,16,18,11,15,20,19,21,19,21,21,23,21,25,20,23,21,18,32,197,68,74,118,135,128,86,70,55,59,53,39,31,
2010,"E01023262","24UP","Winchester District","J","South East",16.92,16538,"Winchester","Winchester 008C","E01023262",15,16,11,11,16,6,14,12,13,13,15,16,14,15,12,20,16,15,14,29,159,57,62,81,109,105,81,72,62,45,46,36,29,
2010,"E01023263","24UP","Winchester District","J","South East",4.1,30961,"Winchester","Winchester 007C","E01023263",19,5,19,6,8,7,6,6,11,7,8,9,8,33,68,64,58,63,56,20,77,89,87,86,89,82,76,69,78,55,50,69,51,
2010,"E01023264","24UP","Winchester District","J","South East",6.71,28173,"Winchester","Winchester 007D","E01023264",10,13,15,13,18,9,10,14,14,20,22,19,26,46,59,56,70,45,40,17,65,73,84,101,121,95,73,72,71,47,40,48,55,
2010,"E01023265","24UP","Winchester District","J","South East",7.42,27290,"Winchester","Winchester 007E","E01023265",20,23,24,22,17,26,20,21,13,24,23,16,19,13,13,13,11,16,15,11,84,90,110,120,119,122,86,92,111,63,67,65,82,
2010,"E01023266","24UP","Winchester District","J","South East",5.61,29431,"Winchester","Winchester 008D","E01023266",8,17,19,17,11,23,17,17,14,16,16,15,14,31,36,40,38,39,70,122,204,94,83,81,100,99,75,60,68,46,44,47,33,
2010,"E01023267","24UP","Winchester District","J","South East",8.710000000000001,25723,"Winchester","Winchester 007F","E01023267",28,30,29,24,29,25,19,14,20,14,13,15,15,18,13,14,25,39,42,21,109,120,135,147,147,89,57,37,53,38,20,22,25,
2010,"E01023268","24UP","Winchester District","J","South East",2.62,32037,"Winchester","Winchester 005D","E01023268",31,19,30,18,24,22,21,23,16,22,20,17,16,19,20,14,13,14,16,20,64,74,81,103,109,94,75,64,58,39,27,22,26,
2010,"E01023269","24UP","Winchester District","J","South East",1.29,32443,"Winchester","Winchester 005E","E01023269",18,20,11,16,18,16,23,15,15,23,23,21,26,31,33,28,27,27,128,304,444,143,128,123,115,99,99,89,99,77,52,41,32,
2010,"E01023270","24UP","Winchester District","J","South East",3.77,31228,"Winchester","Winchester 005F","E01023270",34,13,26,17,23,15,17,17,14,18,15,14,14,14,11,13,11,9,10,16,182,186,161,171,143,100,96,71,56,50,24,19,23,
2010,"E01023271","24UP","Winchester District","J","South East",11.06,22644,"Winchester","Winchester 013B","E01023271",7,4,16,3,16,18,16,14,16,13,12,13,14,12,18,10,17,22,17,14,54,40,51,61,80,92,76,71,87,59,55,39,46,
2010,"E01023272","24UP","Winchester District","J","South East",4.52,30519,"Winchester","Winchester 012E","E01023272",12,7,12,8,10,26,15,18,14,23,21,18,17,25,23,21,23,27,26,21,69,51,66,93,138,135,112,86,82,57,52,44,31,
2010,"E01023273","24UP","Winchester District","J","South East",3.21,31677,"Winchester","Winchester 012F","E01023273",11,8,12,18,7,20,16,16,18,18,17,23,19,21,16,18,25,22,20,18,64,52,53,88,115,129,97,107,99,82,67,45,39,
2010,"E01023274","24UP","Winchester District","J","South East",6.34,28603,"Winchester","Winchester 003E","E01023274",9,13,13,14,21,19,12,18,15,21,17,17,18,16,19,19,38,83,74,77,193,112,87,87,100,103,90,70,82,84,98,67,56,
2010,"E01023275","24UP","Winchester District","J","South East",6.32,28630,"Winchester","Winchester 011B","E01023275",10,8,12,14,11,15,19,18,18,22,29,20,27,23,24,31,31,24,26,31,72,34,31,63,99,148,138,116,117,82,55,45,32,
2010,"E01023276","24UP","Winchester District","J","South East",4.06,30987,"Winchester","Winchester 011C","E01023276",13,10,12,13,12,27,13,17,22,18,22,30,30,34,31,27,27,36,23,23,79,37,34,51,148,188,170,125,118,87,54,37,25,
